club,clubLabel,countryLabel,founded,playersCount,lat,lon,logo
http://www.wikidata.org/entity/Q631,FC Internazionale Milano,Italie,1908-03-09T00:00:00Z,1361,,,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Internazionale%20Milano%202021.svg
http://www.wikidata.org/entity/Q19444,Birmingham City FC,Royaume-Uni,1875-01-01T00:00:00Z,1306,,,
http://www.wikidata.org/entity/Q19571,Brentford FC,Royaume-Uni,1889-10-10T00:00:00Z,1280,,,
http://www.wikidata.org/entity/Q18736,Stoke City FC,Royaume-Uni,1863-01-01T00:00:00Z,1277,,,
http://www.wikidata.org/entity/Q2074,Genoa CFC,Italie,1893-09-07T00:00:00Z,1269,,,
http://www.wikidata.org/entity/Q18515,Grimsby Town Football Club,Royaume-Uni,1878-01-01T00:00:00Z,1250,,,
http://www.wikidata.org/entity/Q48948,Port Vale FC,Royaume-Uni,1876-01-01T00:00:00Z,1246,,,
http://www.wikidata.org/entity/Q1543,AC Milan,Italie,1899-12-16T00:00:00Z,1225,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20AC%20Milan.svg
http://www.wikidata.org/entity/Q18656,Manchester United FC,Royaume-Uni,1878-01-01T00:00:00Z,1217,,,
http://www.wikidata.org/entity/Q48879,Bradford City Association Football Club,Royaume-Uni,1903-01-01T00:00:00Z,1176,53.80416667,-1.75888889,
http://www.wikidata.org/entity/Q19458,Burnley FC,Royaume-Uni,1882-01-01T00:00:00Z,1176,,,
http://www.wikidata.org/entity/Q50602,Manchester City FC,Royaume-Uni,1894-04-16T00:00:00Z,1109,,,
http://www.wikidata.org/entity/Q2768,Torino Football Club,Italie,2005-01-01T00:00:00Z,1106,,,
http://www.wikidata.org/entity/Q19449,Blackpool FC,Royaume-Uni,1887-07-26T00:00:00Z,1100,53.80472222,-3.04805556,
http://www.wikidata.org/entity/Q1422,Juventus FC,Italie,1897-11-01T00:00:00Z,1090,,,http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20FC%20-%20logo%20black%20%28Italy%2C%202020%29.svg
http://www.wikidata.org/entity/Q909189,Darlington Football Club 1883,Royaume-Uni,1883-01-01T00:00:00Z,1083,54.50944444,-1.56416667,
http://www.wikidata.org/entity/Q1130849,Liverpool FC,Royaume-Uni,1892-06-03T00:00:00Z,1078,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Liverpool%20FC%20%282024%29.png
http://www.wikidata.org/entity/Q9617,Arsenal FC,Royaume-Uni,1886-01-01T00:00:00Z,1068,,,
http://www.wikidata.org/entity/Q18732,Southampton FC,Royaume-Uni,1885-11-21T00:00:00Z,1067,,,
http://www.wikidata.org/entity/Q5794,Everton FC,Royaume-Uni,1878-01-01T00:00:00Z,1061,,,
http://www.wikidata.org/entity/Q18519,Lincoln City Football Club,Royaume-Uni,1884-01-01T00:00:00Z,1054,,,
http://www.wikidata.org/entity/Q18711,Aston Villa FC,Royaume-Uni,1874-11-21T00:00:00Z,1037,,,
http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.,Royaume-Uni,1877-01-01T00:00:00Z,1036,,,
http://www.wikidata.org/entity/Q2052,ACF Fiorentina,Italie,2002-01-01T00:00:00Z,1035,,,http://commons.wikimedia.org/wiki/Special:FilePath/ACF%20Fiorentina%20-%20logo%20%28Italy%2C%202022%29.svg
http://www.wikidata.org/entity/Q2052,ACF Fiorentina,Italie,1926-01-01T00:00:00Z,1035,,,http://commons.wikimedia.org/wiki/Special:FilePath/ACF%20Fiorentina%20-%20logo%20%28Italy%2C%202022%29.svg
http://www.wikidata.org/entity/Q19607,Sheffield United FC,Royaume-Uni,1889-03-22T00:00:00Z,1027,,,
http://www.wikidata.org/entity/Q17479,Clube de Regatas do Flamengo,Brésil,1895-11-15T00:00:00Z,1024,,,
http://www.wikidata.org/entity/Q48954,York City Football Club,Royaume-Uni,1922-01-01T00:00:00Z,1024,,,
http://www.wikidata.org/entity/Q2693,Parme Calcio 1913,Italie,2015-01-01T00:00:00Z,1022,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Parma%20Calcio%201913%20%28adozione%202016%29.svg
http://www.wikidata.org/entity/Q2693,Parme Calcio 1913,Italie,2004-01-01T00:00:00Z,1022,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Parma%20Calcio%201913%20%28adozione%202016%29.svg
